Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.64,Tor Books,Hardcover,1007,2010,2010,,2016/03/22,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
13578175,The Emperor's Soul (The Cosmere),Brandon Sanderson,"Sanderson, Brandon",,"=""1616960922""","=""9781616960926""",0,4.35,Tachyon Publications,Paperback,175,2012,2012,,2016/03/22,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",0,4.55,DAW Books,Hardcover,994,2011,2011,,2016/03/22,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
3208556,Двенадцать стульев / Золотой телёнок,Ilya Ilf,"Ilf, Ilya","Yevgeny Petrov, Илья Ильф, Евгений Петров","=""""","=""""",4,4.66,Беларусь,Hardcover,526,1983,1931,,2013/07/14,,,read,,,,1,,,0,,,,,
27477328,Notre-Dame de Paris,Victor Hugo,"Hugo, Victor",,"=""""","=""""",0,4.00,StoryLab Classics,Kindle Edition,577,2015,1831,,2016/02/22,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
5481,Brave New World Revisited,Aldous Huxley,"Huxley, Aldous",,"=""0060898526""","=""9780060898526""",0,3.95,Harper Perennial Modern Classics,Paperback,123,2006,1958,,2016/02/23,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2016/02/23,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""0060593083""","=""9780060593087""",0,3.90,HarperCollins Perennial,Paperback,927,2004,2003,,2016/02/23,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.24,Avon,Mass Market Paperback,1152,2002,1999,,2016/02/23,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
3974,The Terror,Dan Simmons,"Simmons, Dan",,"=""0316017442""","=""9780316017442""",0,4.05,"Little, Brown and Company",Hardcover,769,2007,2007,,2016/02/23,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
